batch_id,trial,warmup,system,config,phase,ticks,ns_since_e2,delta_ticks,delta_ns,source
20260818T013740Z-1,5,0,whimbrel,release-fast-boot,E3g_doorbell,302903,6625600,787,78700,serial
20260818T013740Z-1,23,0,whimbrel,release-fast-boot,_start,235765,0,0,0,serial
20260818T013740Z-1,23,0,whimbrel,release-fast-boot,stamp_a,236213,44800,448,44800,serial
20260818T013740Z-1,23,0,whimbrel,release-fast-boot,stamp_b,236268,50300,55,5500,serial
20260818T013740Z-1,23,0,whimbrel,release-fast-boot,stvec,238826,306100,2558,255800,serial
20260818T013740Z-1,23,0,whimbrel,release-fast-boot,frame_init,240256,449100,1430,143000,serial
20260818T013740Z-1,23,0,whimbrel,release-fast-boot,task_init,246166,1040100,5910,591000,serial
20260818T013740Z-1,23,0,whimbrel,release-fast-boot,page_build,250116,1435100,3950,395000,serial
20260818T013740Z-1,23,0,whimbrel,release-fast-boot,page_verify,257531,2176600,7415,741500,serial
20260818T013740Z-1,23,0,whimbrel,release-fast-boot,activate,258429,2266400,898,89800,serial
20260818T013740Z-1,23,0,whimbrel,release-fast-boot,virtq_init,266985,3122000,8556,855600,serial
20260818T013740Z-1,23,0,whimbrel,release-fast-boot,DRIVER_OK,272473,3670800,5488,548800,serial
20260818T013740Z-1,23,0,whimbrel,release-fast-boot,first_rx,275594,3982900,3121,312100,serial
20260818T013740Z-1,23,0,whimbrel,release-fast-boot,syn_rx,278330,4256500,2736,273600,serial
20260818T013740Z-1,23,0,whimbrel,release-fast-boot,established,280941,4517600,2611,261100,serial
20260818T013740Z-1,23,0,whimbrel,release-fast-boot,serving_ready,284585,4882000,3644,364400,serial
20260818T013740Z-1,23,0,whimbrel,release-fast-boot,net_init_done,287402,5163700,2817,281700,serial
20260818T013740Z-1,23,0,whimbrel,release-fast-boot,heap_init,287624,5185900,222,22200,serial
20260818T013740Z-1,23,0,whimbrel,release-fast-boot,accounting,287882,5211700,258,25800,serial
20260818T013740Z-1,23,0,whimbrel,release-fast-boot,freeze,288003,5223800,121,12100,serial
20260818T013740Z-1,23,0,whimbrel,release-fast-boot,sret,288197,5243200,194,19400,serial
20260818T013740Z-1,23,0,whimbrel,release-fast-boot,E3g,300661,6489600,12464,1246400,serial
20260818T013740Z-1,23,0,whimbrel,release-fast-boot,E3g_doorbell,301448,6568300,787,78700,serial
20260818T013740Z-1,27,0,whimbrel,release-fast-boot,_start,234131,0,0,0,serial
20260818T013740Z-1,27,0,whimbrel,release-fast-boot,stamp_a,234577,44600,446,44600,serial
20260818T013740Z-1,27,0,whimbrel,release-fast-boot,stamp_b,234631,50000,54,5400,serial
20260818T013740Z-1,27,0,whimbrel,release-fast-boot,stvec,237207,307600,2576,257600,serial
20260818T013740Z-1,27,0,whimbrel,release-fast-boot,frame_init,238621,449000,1414,141400,serial
20260818T013740Z-1,27,0,whimbrel,release-fast-boot,task_init,244462,1033100,5841,584100,serial
20260818T013740Z-1,27,0,whimbrel,release-fast-boot,page_build,248379,1424800,3917,391700,serial
20260818T013740Z-1,27,0,whimbrel,release-fast-boot,page_verify,255750,2161900,7371,737100,serial
20260818T013740Z-1,27,0,whimbrel,release-fast-boot,activate,256627,2249600,877,87700,serial
20260818T013740Z-1,27,0,whimbrel,release-fast-boot,virtq_init,265047,3091600,8420,842000,serial
20260818T013740Z-1,27,0,whimbrel,release-fast-boot,DRIVER_OK,270356,3622500,5309,530900,serial
20260818T013740Z-1,27,0,whimbrel,release-fast-boot,first_rx,273409,3927800,3053,305300,serial
20260818T013740Z-1,27,0,whimbrel,release-fast-boot,syn_rx,276123,4199200,2714,271400,serial
20260818T013740Z-1,27,0,whimbrel,release-fast-boot,established,278732,4460100,2609,260900,serial
20260818T013740Z-1,27,0,whimbrel,release-fast-boot,serving_ready,282243,4811200,3511,351100,serial
20260818T013740Z-1,27,0,whimbrel,release-fast-boot,net_init_done,285045,5091400,2802,280200,serial
20260818T013740Z-1,27,0,whimbrel,release-fast-boot,heap_init,285262,5113100,217,21700,serial
20260818T013740Z-1,27,0,whimbrel,release-fast-boot,accounting,285513,5138200,251,25100,serial
20260818T013740Z-1,27,0,whimbrel,release-fast-boot,freeze,285634,5150300,121,12100,serial
20260818T013740Z-1,27,0,whimbrel,release-fast-boot,sret,285820,5168900,186,18600,serial
20260818T013740Z-1,27,0,whimbrel,release-fast-boot,E3g,297975,6384400,12155,1215500,serial
20260818T013740Z-1,27,0,whimbrel,release-fast-boot,E3g_doorbell,298765,6463400,790,79000,serial
20260818T013740Z-1,5,0,whimbrel,release-default,_start,232746,0,0,0,serial
